Entidad,Municipio, Porcentaje2020 , Personas2020 
Hidalgo,Atitalaquia, 12.30 ," 3,574.00 "
Hidalgo,Atlapexco, 58.35 ," 13,444.00 "
Hidalgo,Atotonilco el Grande, 21.08 ," 6,395.00 "
Hidalgo,Atotonilco de Tula, 27.29 ," 16,603.00 "
Hidalgo,Calnali, 36.03 ," 5,865.00 "
Hidalgo,Cardonal, 29.47 ," 6,005.00 "
Hidalgo,Cuautepec de Hinojosa, 26.16 ," 15,419.00 "
Hidalgo,Chapantongo, 37.01 ," 5,191.00 "
Hidalgo,Chapulhuacán, 20.69 ," 4,746.00 "
Hidalgo,Chilcuautla, 37.18 ," 7,615.00 "
Hidalgo,Eloxochitlán, 7.95 , 204.00 
Hidalgo,Emiliano Zapata, 20.83 ," 2,991.00 "
Hidalgo,Epazoyucan, 20.74 ," 3,340.00 "
Hidalgo,Francisco I. Madero, 23.53 ," 8,451.00 "
Hidalgo,Huasca de Ocampo, 32.03 ," 6,051.00 "
Hidalgo,Huautla, 32.91 ," 6,855.00 "
Hidalgo,Huazalingo, 39.65 ," 5,242.00 "
Hidalgo,Huehuetla, 47.83 ," 11,780.00 "
Hidalgo,Huejutla de Reyes, 46.36 ," 62,604.00 "
Hidalgo,Huichapan, 19.64 ," 9,184.00 "
Hidalgo,Ixmiquilpan, 31.74 ," 32,542.00 "
Hidalgo,Jacala de Ledezma, 12.80 ," 1,555.00 "
Hidalgo,Jaltocán, 36.77 ," 3,936.00 "
Hidalgo,Juárez Hidalgo, 10.59 , 304.00 
Hidalgo,Lolotla, 30.82 ," 2,893.00 "
Hidalgo,Metepec, 18.43 ," 2,475.00 "
Hidalgo,San Agustín Metzquititlán, 15.89 ," 1,488.00 "
Hidalgo,Metztitlán, 27.67 ," 5,978.00 "
Hidalgo,Mineral del Chico, 13.53 ," 1,190.00 "
Hidalgo,Mineral del Monte, 24.34 ," 3,421.00 "
Hidalgo,La Misión, 15.92 ," 1,549.00 "
Hidalgo,Mixquiahuala de Juárez, 23.02 ," 10,857.00 "
Hidalgo,Molango de Escamilla, 19.05 ," 2,115.00 "
Hidalgo,Nicolás Flores, 24.86 ," 1,543.00 "
Hidalgo,Nopala de Villagrán, 27.77 ," 4,961.00 "
Hidalgo,Omitlán de Juárez, 21.33 ," 1,964.00 "
Hidalgo,San Felipe Orizatlán, 32.00 ," 12,517.00 "
Hidalgo,Pacula, 10.49 , 494.00 
Hidalgo,Pachuca de Soto, 17.07 ," 51,208.00 "
Hidalgo,Pisaflores, 28.76 ," 5,595.00 "
Hidalgo,Progreso de Obregón, 19.35 ," 4,442.00 "
Hidalgo,Mineral de la Reforma, 15.38 ," 29,927.00 "
Hidalgo,San Agustín Tlaxiaca, 31.36 ," 12,642.00 "
Hidalgo,San Bartolo Tutotepec, 29.15 ," 5,161.00 "
Hidalgo,San Salvador, 29.66 ," 11,370.00 "
Hidalgo,Santiago de Anaya, 40.59 ," 8,090.00 "
Hidalgo,Santiago Tulantepec de Lugo Guerrero, 10.80 ," 4,007.00 "
Hidalgo,Singuilucan, 28.52 ," 4,459.00 "
Hidalgo,Tasquillo, 30.50 ," 5,615.00 "
Hidalgo,Tecozautla, 29.58 ," 11,860.00 "
Hidalgo,Tenango de Doria, 27.40 ," 4,842.00 "
Hidalgo,Tepeapulco, 18.32 ," 9,676.00 "
Hidalgo,Tepehuacán de Guerrero, 27.64 ," 8,470.00 "
Hidalgo,Tepeji del Río de Ocampo, 22.19 ," 18,986.00 "
Hidalgo,Tepetitlán, 28.83 ," 3,278.00 "
Hidalgo,Tetepango, 21.82 ," 2,456.00 "
Hidalgo,Villa de Tezontepec, 21.57 ," 2,768.00 "
Hidalgo,Tezontepec de Aldama, 27.54 ," 15,160.00 "
Hidalgo,Tianguistengo, 35.75 ," 5,225.00 "
Hidalgo,Tizayuca, 25.05 ," 40,216.00 "
Hidalgo,Tlahuelilpan, 21.30 ," 3,932.00 "
Hidalgo,Tlahuiltepa, 7.17 , 645.00 
Hidalgo,Tlanalapa, 20.84 ," 2,191.00 "
Hidalgo,Tlanchinol, 49.85 ," 20,319.00 "
Hidalgo,Tlaxcoapan, 18.73 ," 5,013.00 "
Hidalgo,Tolcayuca, 23.58 ," 4,955.00 "
Hidalgo,Tula de Allende, 17.68 ," 19,461.00 "
Hidalgo,Tulancingo de Bravo, 16.45 ," 26,480.00 "
Hidalgo,Xochiatipan, 48.19 ," 9,336.00 "
Hidalgo,Xochicoatlán, 16.43 ," 1,142.00 "
Hidalgo,Yahualica, 44.90 ," 11,914.00 "
Hidalgo,Zacualtipán de Ángeles, 19.48 ," 7,034.00 "
Hidalgo,Zapotlán de Juárez, 21.36 ," 4,364.00 "
Hidalgo,Zempoala, 21.15 ," 11,942.00 "
Hidalgo,Zimapán, 16.13 ," 6,275.00 "
Jalisco,Acatic, 16.85 ," 3,479.00 "
Jalisco,Acatlán de Juárez, 15.22 ," 4,256.00 "
Jalisco,Ahualulco de Mercado, 14.07 ," 3,220.00 "
Jalisco,Amacueca, 8.24 , 476.00 
Jalisco,Amatitán, 8.91 ," 1,491.00 "
Jalisco,Ameca, 13.81 ," 8,580.00 "
Jalisco,San Juanito de Escobedo, 13.73 ," 1,301.00 "
Jalisco,Arandas, 14.41 ," 11,480.00 "
Jalisco,El Arenal, 11.59 ," 2,390.00 "
Jalisco,Atemajac de Brizuela, 24.99 ," 1,947.00 "
Jalisco,Atengo, 12.92 , 727.00 
Jalisco,Atenguillo, 5.21 , 219.00 
Jalisco,Atotonilco el Alto, 9.06 ," 5,161.00 "
Jalisco,Atoyac, 9.97 , 870.00 
Jalisco,Autlán de Navarro, 18.50 ," 11,567.00 "
Jalisco,Ayotlán, 14.89 ," 6,272.00 "
Jalisco,Ayutla, 19.45 ," 2,136.00 "
Jalisco,La Barca, 18.00 ," 10,299.00 "
Jalisco,Bolaños, 21.23 ," 1,503.00 "
Jalisco,Cabo Corrientes, 22.65 ," 2,463.00 "
Jalisco,Casimiro Castillo, 17.98 ," 3,560.00 "
Jalisco,Cihuatlán, 18.25 ," 7,742.00 "
Jalisco,Zapotlán el Grande, 13.55 ," 15,729.00 "
Jalisco,Cocula, 18.83 ," 5,220.00 "
Jalisco,Colotlán, 11.03 ," 1,922.00 "
Jalisco,Concepción de Buenos Aires, 3.49 , 222.00 
Jalisco,Cuautitlán de García Barragán, 30.61 ," 5,260.00 "
Jalisco,Cuautla, 7.13 , 155.00 
Jalisco,Cuquío, 10.64 ," 1,471.00 "
Jalisco,Chapala, 9.42 ," 6,183.00 "
Jalisco,Chimaltitán, 29.89 , 982.00 
Jalisco,Chiquilistlán, 15.50 , 932.00 
Jalisco,Degollado, 15.20 ," 3,642.00 "
Jalisco,Ejutla, 4.65 , 93.00 
Jalisco,Encarnación de Díaz, 6.15 ," 2,991.00 "
Jalisco,Etzatlán, 11.22 ," 2,099.00 "
Jalisco,El Grullo, 17.27 ," 4,403.00 "
Jalisco,Guachinango, 7.37 , 311.00 
Jalisco,Guadalajara, 9.93 ," 134,634.00 "
Jalisco,Hostotipaquillo, 5.70 , 500.00 
Jalisco,Huejúcar, 9.84 , 585.00 
Jalisco,Huejuquilla el Alto, 19.28 ," 1,468.00 "
Jalisco,La Huerta, 25.48 ," 5,200.00 "
Jalisco,Ixtlahuacán de los Membrillos, 20.51 ," 13,482.00 "
Jalisco,Ixtlahuacán del Río, 19.29 ," 3,715.00 "
Jalisco,Jalostotitlán, 5.34 ," 1,650.00 "
Jalisco,Jamay, 14.38 ," 3,367.00 "
Jalisco,Jesús María, 13.22 ," 2,409.00 "
Jalisco,Jilotlán de los Dolores, 7.31 , 692.00 
Jalisco,Jocotepec, 15.81 ," 7,721.00 "
Jalisco,Juanacatlán, 16.71 ," 5,371.00 "
Jalisco,Juchitlán, 11.27 , 627.00 
Jalisco,Lagos de Moreno, 11.83 ," 21,043.00 "
Jalisco,El Limón, 3.22 , 174.00 
Jalisco,Magdalena, 8.07 ," 1,587.00 "
Jalisco,Santa María del Oro, 12.61 , 230.00 
Jalisco,La Manzanilla de la Paz, 5.99 , 247.00 
Jalisco,Mascota, 9.24 ," 1,138.00 "
Jalisco,Mazamitla, 12.54 ," 1,834.00 "
Jalisco,Mexticacán, 4.43 , 236.00 
Jalisco,Mezquitic, 48.11 ," 10,674.00 "
Jalisco,Mixtlán, 11.15 , 408.00 
Jalisco,Ocotlán, 14.53 ," 14,989.00 "
Jalisco,Ojuelos de Jalisco, 13.14 ," 3,995.00 "
Jalisco,Pihuamo, 15.84 ," 1,836.00 "
Jalisco,Poncitlán, 21.32 ," 11,289.00 "
Jalisco,Puerto Vallarta, 16.07 ," 52,923.00 "
Jalisco,Villa Purificación, 21.21 ," 2,128.00 "
Jalisco,Quitupan, 13.56 ," 1,054.00 "
Jalisco,El Salto, 17.61 ," 42,135.00 "
Jalisco,San Cristóbal de la Barranca, 7.21 , 212.00 
Jalisco,San Diego de Alejandría, 16.08 ," 1,229.00 "
Jalisco,San Juan de los Lagos, 9.12 ," 6,420.00 "
Jalisco,San Julián, 7.72 ," 1,179.00 "
Jalisco,San Marcos, 20.60 , 785.00 
Jalisco,San Martín de Bolaños, 15.97 , 496.00 
Jalisco,San Martín Hidalgo, 13.77 ," 3,586.00 "
Jalisco,San Miguel el Alto, 18.16 ," 5,747.00 "
Jalisco,Gómez Farías, 18.84 ," 3,379.00 "
Jalisco,San Sebastián del Oeste, 10.83 , 554.00 
Jalisco,Santa María de los Ángeles, 12.61 , 445.00 
Jalisco,Sayula, 15.48 ," 5,868.00 "
Jalisco,Tala, 15.20 ," 13,485.00 "
Jalisco,Talpa de Allende, 19.79 ," 2,680.00 "
Jalisco,Tamazula de Gordiano, 15.88 ," 5,759.00 "
Jalisco,Tapalpa, 9.29 ," 1,929.00 "
Jalisco,Tecalitlán, 10.31 ," 1,791.00 "
Jalisco,Tecolotlán, 9.64 ," 1,373.00 "
Jalisco,Techaluta de Montenegro, 15.39 , 630.00 
Jalisco,Tenamaxtlán, 9.29 , 681.00 
Jalisco,Teocaltiche, 6.77 ," 2,338.00 "
Jalisco,Teocuitatlán de Corona, 10.69 ," 1,145.00 "
Jalisco,Tepatitlán de Morelos, 10.28 ," 13,705.00 "
Jalisco,Tequila, 13.15 ," 5,737.00 "
Jalisco,Teuchitlán, 9.73 , 943.00 
Jalisco,Tizapán el Alto, 28.70 ," 6,820.00 "
Jalisco,Tlajomulco de Zúñiga, 23.12 ," 182,639.00 "
Jalisco,Tlaquepaque, 13.69 ," 97,298.00 "
Jalisco,Tolimán, 18.15 ," 2,164.00 "
Jalisco,Tomatlán, 16.08 ," 5,633.00 "
Jalisco,Tonalá, 18.51 ," 111,332.00 "
Jalisco,Tonaya, 6.22 , 372.00 
Jalisco,Tonila, 8.30 , 631.00 
Jalisco,Totatiche, 7.28 , 306.00 
Jalisco,Tototlán, 11.32 ," 2,360.00 "
Jalisco,Tuxcacuesco, 18.61 ," 1,025.00 "
Jalisco,Tuxcueca, 17.44 ," 1,174.00 "
Jalisco,Tuxpan, 16.54 ," 6,380.00 "
Jalisco,Unión de San Antonio, 9.40 ," 1,871.00 "
Jalisco,Unión de Tula, 14.63 ," 1,803.00 "
Jalisco,Valle de Guadalupe, 2.10 , 140.00 
Jalisco,Valle de Juárez, 10.07 , 623.00 
Jalisco,San Gabriel, 14.75 ," 2,350.00 "
Jalisco,Villa Corona, 14.51 ," 2,830.00 "
Jalisco,Villa Guerrero, 15.14 , 840.00 
Jalisco,Villa Hidalgo, 8.67 ," 1,732.00 "
Jalisco,Cañadas de Obregón, 6.06 , 267.00 
Jalisco,Yahualica de González Gallo, 8.68 ," 1,664.00 "
Jalisco,Zacoalco de Torres, 16.70 ," 4,502.00 "
Jalisco,Zapopan, 11.48 ," 167,439.00 "
Jalisco,Zapotiltic, 17.05 ," 6,311.00 "
Jalisco,Zapotitlán de Vadillo, 9.08 , 681.00 
Jalisco,Zapotlán del Rey, 12.00 ," 2,124.00 "
Jalisco,Zapotlanejo, 13.98 ," 9,166.00 "
Jalisco,San Ignacio Cerro Gordo, 8.04 ," 1,384.00 "
México,Acambay, 40.79 ," 29,297.00 "
México,Acolman, 25.61 ," 53,843.00 "
México,Aculco, 29.20 ," 13,486.00 "
México,Almoloya de Alquisiras, 30.51 ," 4,685.00 "
México,Almoloya de Juárez, 38.50 ," 74,977.00 "
México,Almoloya del Río, 26.18 ," 3,500.00 "
México,Amanalco, 43.27 ," 9,806.00 "
México,Amatepec, 33.71 ," 7,880.00 "
México,Amecameca, 15.46 ," 7,679.00 "
México,Apaxco, 22.94 ," 8,306.00 "
México,Atenco, 33.27 ," 28,054.00 "
México,Atizapán, 23.46 ," 3,344.00 "
México,Atizapán de Zaragoza, 12.29 ," 67,465.00 "
México,Atlacomulco, 37.20 ," 40,292.00 "
México,Atlautla, 15.25 ," 4,228.00 "
México,Axapusco, 19.89 ," 5,849.00 "
México,Ayapango, 17.87 ," 1,745.00 "
México,Calimaya, 16.80 ," 11,757.00 "
México,Capulhuac, 20.02 ," 7,647.00 "
México,Coacalco de Berriozábal, 16.62 ," 52,922.00 "
México,Coatepec Harinas, 21.21 ," 7,456.00 "
México,Cocotitlán, 18.21 ," 2,973.00 "
México,Coyotepec, 10.43 ," 4,242.00 "
México,Cuautitlán, 18.37 ," 35,892.00 "
México,Chalco, 23.21 ," 104,238.00 "
México,Chapa de Mota, 29.17 ," 9,219.00 "
México,Chapultepec, 20.73 ," 2,839.00 "
México,Chiautla, 22.78 ," 7,337.00 "
México,Chicoloapan, 25.10 ," 54,715.00 "
México,Chiconcuac, 25.65 ," 7,558.00 "
México,Chimalhuacán, 25.49 ," 182,707.00 "
México,Donato Guerra, 34.19 ," 10,160.00 "
México,Ecatepec de Morelos, 19.99 ," 361,484.00 "
México,Ecatzingo, 18.09 ," 1,691.00 "
México,Huehuetoca, 20.56 ," 38,765.00 "
México,Hueypoxtla, 26.19 ," 13,481.00 "
México,Huixquilucan, 10.17 ," 30,110.00 "
México,Isidro Fabela, 33.01 ," 3,739.00 "
México,Ixtapaluca, 24.35 ," 143,621.00 "
México,Ixtapan de la Sal, 21.33 ," 8,108.00 "
México,Ixtapan del Oro, 5.29 , 366.00 
México,Ixtlahuaca, 32.44 ," 53,169.00 "
México,Xalatlaco, 22.78 ," 6,417.00 "
México,Jaltenco, 16.11 ," 5,176.00 "
México,Jilotepec, 26.31 ," 23,389.00 "
México,Jilotzingo, 7.65 ," 1,480.00 "
México,Jiquipilco, 44.95 ," 36,506.00 "
México,Jocotitlán, 20.33 ," 14,395.00 "
México,Joquicingo, 34.83 ," 5,305.00 "
México,Juchitepec, 10.02 ," 2,570.00 "
México,Lerma, 17.41 ," 29,931.00 "
México,Malinalco, 33.47 ," 10,169.00 "
México,Melchor Ocampo, 18.60 ," 12,115.00 "
México,Metepec, 10.97 ," 26,975.00 "
México,Mexicaltzingo, 14.51 ," 2,095.00 "
México,Morelos, 31.85 ," 8,943.00 "
México,Naucalpan de Juárez, 15.04 ," 134,941.00 "
México,Nezahualcóyotl, 17.24 ," 194,177.00 "
México,Nextlalpan, 20.07 ," 12,782.00 "
México,Nicolás Romero, 21.04 ," 100,910.00 "
México,Nopaltepec, 8.77 , 956.00 
México,Ocoyoacac, 23.10 ," 18,074.00 "
México,Ocuilan, 24.65 ," 8,968.00 "
México,El Oro, 38.52 ," 14,289.00 "
México,Otumba, 24.89 ," 9,472.00 "
México,Otzoloapan, 8.56 , 447.00 
México,Otzolotepec, 20.56 ," 18,524.00 "
México,Ozumba, 24.13 ," 7,334.00 "
México,Papalotla, 11.86 , 616.00 
México,La Paz, 27.50 ," 91,581.00 "
México,Polotitlán, 9.34 ," 1,409.00 "
México,Rayón, 17.83 ," 2,858.00 "
México,San Antonio la Isla, 18.80 ," 6,222.00 "
México,San Felipe del Progreso, 46.51 ," 68,172.00 "
México,San Martín de las Pirámides, 16.66 ," 4,969.00 "
México,San Mateo Atenco, 23.74 ," 24,154.00 "
México,San Simón de Guerrero, 12.12 , 865.00 
México,Santo Tomás, 8.78 , 911.00 
México,Soyaniquilpan de Juárez, 16.79 ," 2,528.00 "
México,Sultepec, 17.48 ," 3,500.00 "
México,Tecámac, 12.36 ," 75,367.00 "
México,Tejupilco, 33.58 ," 25,788.00 "
México,Temamatla, 16.85 ," 2,323.00 "
México,Temascalapa, 25.20 ," 12,562.00 "
México,Temascalcingo, 38.56 ," 27,411.00 "
México,Temascaltepec, 28.62 ," 9,019.00 "
México,Temoaya, 31.58 ," 35,327.00 "
México,Tenancingo, 25.98 ," 28,446.00 "
México,Tenango del Aire, 13.05 ," 1,438.00 "
México,Tenango del Valle, 24.33 ," 21,268.00 "
México,Teoloyucan, 14.98 ," 10,647.00 "
México,Teotihuacán, 21.20 ," 13,897.00 "
México,Tepetlaoxtoc, 22.86 ," 8,208.00 "
México,Tepetlixpa, 21.29 ," 4,305.00 "
México,Tepotzotlán, 21.02 ," 24,161.00 "
México,Tequixquiac, 12.34 ," 5,641.00 "
México,Texcaltitlán, 24.64 ," 4,214.00 "
México,Texcalyacac, 9.64 , 590.00 
México,Texcoco, 21.93 ," 67,371.00 "
México,Tezoyuca, 22.81 ," 12,320.00 "
México,Tianguistenco, 35.01 ," 30,697.00 "
México,Timilpan, 24.70 ," 3,679.00 "
México,Tlalmanalco, 15.75 ," 7,827.00 "
México,Tlalnepantla de Baz, 15.12 ," 110,650.00 "
México,Tlatlaya, 35.06 ," 10,397.00 "
México,Toluca, 26.79 ," 264,227.00 "
México,Tonatico, 17.71 ," 2,229.00 "
México,Tultepec, 18.20 ," 31,624.00 "
México,Tultitlán, 16.73 ," 93,742.00 "
México,Valle de Bravo, 9.83 ," 6,639.00 "
México,Villa de Allende, 33.52 ," 16,170.00 "
México,Villa del Carbón, 31.38 ," 16,705.00 "
México,Villa Guerrero, 29.06 ," 21,475.00 "
México,Villa Victoria, 43.13 ," 49,605.00 "
México,Xonacatlán, 24.75 ," 14,698.00 "
México,Zacazonapan, 12.48 , 681.00 
México,Zacualpan, 16.23 ," 1,878.00 "
México,Zinacantepec, 19.37 ," 39,186.00 "
México,Zumpahuacán, 29.76 ," 5,526.00 "
México,Zumpango, 27.97 ," 94,165.00 "
México,Cuautitlán Izcalli, 12.91 ," 76,066.00 "
México,Valle de Chalco Solidaridad, 27.65 ," 116,285.00 "
México,Luvianos, 32.66 ," 8,222.00 "
México,San José del Rincón, 40.32 ," 35,083.00 "
México,Tonanitla, 22.03 ," 3,817.00 "
Michoacán de Ocampo,Acuitzio, 25.43 ," 2,901.00 "
Michoacán de Ocampo,Aguililla, 33.65 ," 4,994.00 "
Michoacán de Ocampo,Álvaro Obregón, 32.51 ," 7,969.00 "
Michoacán de Ocampo,Angamacutiro, 23.06 ," 3,624.00 "
Michoacán de Ocampo,Angangueo, 18.87 ," 2,079.00 "
Michoacán de Ocampo,Apatzingán, 19.19 ," 24,364.00 "
Michoacán de Ocampo,Aporo, 18.49 , 652.00 
Michoacán de Ocampo,Aquila, 46.23 ," 11,909.00 "
Michoacán de Ocampo,Ario, 11.07 ," 3,912.00 "
Michoacán de Ocampo,Arteaga, 35.86 ," 7,452.00 "
Michoacán de Ocampo,Briseñas, 22.67 ," 2,627.00 "
Michoacán de Ocampo,Buenavista, 14.81 ," 6,572.00 "
Michoacán de Ocampo,Carácuaro, 13.86 ," 1,272.00 "
Michoacán de Ocampo,Coahuayana, 25.42 ," 4,188.00 "
Michoacán de Ocampo,Coalcomán de Vázquez Pallares, 20.42 ," 3,834.00 "
Michoacán de Ocampo,Coeneo, 27.23 ," 6,212.00 "
Michoacán de Ocampo,Contepec, 26.67 ," 9,801.00 "
Michoacán de Ocampo,Copándaro, 10.69 ," 1,014.00 "
Michoacán de Ocampo,Cotija, 19.58 ," 3,947.00 "
Michoacán de Ocampo,Cuitzeo, 16.99 ," 5,236.00 "
Michoacán de Ocampo,Charapan, 41.92 ," 5,582.00 "
Michoacán de Ocampo,Charo, 17.44 ," 4,480.00 "
Michoacán de Ocampo,Chavinda, 21.66 ," 2,282.00 "
Michoacán de Ocampo,Cherán, 24.45 ," 4,978.00 "
Michoacán de Ocampo,Chilchota, 33.64 ," 13,780.00 "
Michoacán de Ocampo,Chinicuila, 6.65 , 318.00 
Michoacán de Ocampo,Chucándiro, 14.51 , 717.00 
Michoacán de Ocampo,Churintzio, 15.14 , 792.00 
Michoacán de Ocampo,Churumuco, 25.45 ," 2,963.00 "
Michoacán de Ocampo,Ecuandureo, 14.77 ," 1,837.00 "
Michoacán de Ocampo,Epitacio Huerta, 35.16 ," 6,075.00 "
Michoacán de Ocampo,Erongarícuaro, 25.69 ," 4,170.00 "
Michoacán de Ocampo,Gabriel Zamora, 15.51 ," 3,144.00 "
Michoacán de Ocampo,Hidalgo, 29.04 ," 37,685.00 "
Michoacán de Ocampo,La Huacana, 26.33 ," 7,798.00 "
Michoacán de Ocampo,Huandacareo, 16.14 ," 1,898.00 "
Michoacán de Ocampo,Huaniqueo, 13.06 ," 1,037.00 "
Michoacán de Ocampo,Huetamo, 20.78 ," 8,211.00 "
Michoacán de Ocampo,Huiramba, 18.14 ," 1,635.00 "
Michoacán de Ocampo,Indaparapeo, 29.63 ," 5,462.00 "
Michoacán de Ocampo,Irimbo, 26.97 ," 4,412.00 "
Michoacán de Ocampo,Ixtlán, 17.67 ," 2,619.00 "
Michoacán de Ocampo,Jacona, 23.76 ," 16,254.00 "
Michoacán de Ocampo,Jiménez, 21.91 ," 2,951.00 "
Michoacán de Ocampo,Jiquilpan, 18.83 ," 6,885.00 "
Michoacán de Ocampo,Juárez, 24.74 ," 3,656.00 "
Michoacán de Ocampo,Jungapeo, 22.00 ," 4,671.00 "
Michoacán de Ocampo,Lagunillas, 22.24 ," 1,277.00 "
Michoacán de Ocampo,Madero, 20.28 ," 3,822.00 "
Michoacán de Ocampo,Maravatío, 18.64 ," 16,318.00 "
Michoacán de Ocampo,Marcos Castellanos, 12.10 ," 1,806.00 "
Michoacán de Ocampo,Lázaro Cárdenas, 26.23 ," 49,473.00 "
Michoacán de Ocampo,Morelia, 14.76 ," 123,894.00 "
Michoacán de Ocampo,Morelos, 5.49 , 438.00 
Michoacán de Ocampo,Múgica, 24.18 ," 10,872.00 "
Michoacán de Ocampo,Nahuatzen, 40.58 ," 12,695.00 "
Michoacán de Ocampo,Nocupétaro, 8.02 , 657.00 
Michoacán de Ocampo,Nuevo Parangaricutiro, 15.81 ," 3,385.00 "
Michoacán de Ocampo,Nuevo Urecho, 13.63 ," 1,230.00 "
Michoacán de Ocampo,Numarán, 6.15 , 580.00 
Michoacán de Ocampo,Ocampo, 36.31 ," 9,460.00 "
Michoacán de Ocampo,Pajacuarán, 30.44 ," 6,823.00 "
Michoacán de Ocampo,Panindícuaro, 18.89 ," 2,836.00 "
Michoacán de Ocampo,Parácuaro, 21.65 ," 5,642.00 "
Michoacán de Ocampo,Paracho, 22.94 ," 8,924.00 "
Michoacán de Ocampo,Pátzcuaro, 23.78 ," 23,370.00 "
Michoacán de Ocampo,Penjamillo, 21.50 ," 3,584.00 "
Michoacán de Ocampo,Peribán, 10.61 ," 3,244.00 "
Michoacán de Ocampo,La Piedad, 19.86 ," 20,526.00 "
Michoacán de Ocampo,Purépero, 10.48 ," 1,556.00 "
Michoacán de Ocampo,Puruándiro, 19.18 ," 12,790.00 "
Michoacán de Ocampo,Queréndaro, 25.45 ," 3,514.00 "
Michoacán de Ocampo,Quiroga, 15.27 ," 4,047.00 "
Michoacán de Ocampo,Cojumatlán de Régules, 22.22 ," 2,323.00 "
Michoacán de Ocampo,Los Reyes, 22.89 ," 17,374.00 "
Michoacán de Ocampo,Sahuayo, 27.00 ," 21,998.00 "
Michoacán de Ocampo,San Lucas, 32.62 ," 5,866.00 "
Michoacán de Ocampo,Santa Ana Maya, 18.28 ," 2,426.00 "
Michoacán de Ocampo,Salvador Escalante, 27.98 ," 14,076.00 "
Michoacán de Ocampo,Senguio, 34.03 ," 7,075.00 "
Michoacán de Ocampo,Susupuato, 34.86 ," 3,164.00 "
Michoacán de Ocampo,Tacámbaro, 21.96 ," 18,269.00 "
Michoacán de Ocampo,Tancítaro, 18.76 ," 7,465.00 "
Michoacán de Ocampo,Tangamandapio, 16.94 ," 5,425.00 "
Michoacán de Ocampo,Tangancícuaro, 16.18 ," 5,946.00 "
Michoacán de Ocampo,Tanhuato, 18.60 ," 3,068.00 "
Michoacán de Ocampo,Taretan, 12.07 ," 1,792.00 "
Michoacán de Ocampo,Tarímbaro, 23.68 ," 26,884.00 "
Michoacán de Ocampo,Tepalcatepec, 11.80 ," 3,132.00 "
Michoacán de Ocampo,Tingambato, 24.22 ," 3,881.00 "
Michoacán de Ocampo,Tingüindín, 15.01 ," 2,307.00 "
Michoacán de Ocampo,Tiquicheo de Nicolás Romero, 28.19 ," 3,732.00 "
Michoacán de Ocampo,Tlalpujahua, 36.12 ," 10,990.00 "
Michoacán de Ocampo,Tlazazalca, 13.18 , 846.00 
Michoacán de Ocampo,Tocumbo, 19.67 ," 2,454.00 "
Michoacán de Ocampo,Tumbiscatío, 17.36 ," 1,037.00 "
Michoacán de Ocampo,Turicato, 17.42 ," 4,764.00 "
Michoacán de Ocampo,Tuxpan, 21.39 ," 5,575.00 "
Michoacán de Ocampo,Tuzantla, 36.45 ," 5,113.00 "
Michoacán de Ocampo,Tzintzuntzan, 28.15 ," 4,289.00 "
Michoacán de Ocampo,Tzitzio, 41.35 ," 3,661.00 "
Michoacán de Ocampo,Uruapan, 20.58 ," 71,990.00 "
Michoacán de Ocampo,Venustiano Carranza, 24.34 ," 5,796.00 "
Michoacán de Ocampo,Villamar, 25.93 ," 4,397.00 "
Michoacán de Ocampo,Vista Hermosa, 19.24 ," 3,982.00 "
Michoacán de Ocampo,Yurécuaro, 36.25 ," 12,261.00 "
Michoacán de Ocampo,Zacapu, 22.37 ," 17,051.00 "
Michoacán de Ocampo,Zamora, 24.13 ," 48,387.00 "
Michoacán de Ocampo,Zináparo, 7.24 , 234.00 
Michoacán de Ocampo,Zinapécuaro, 23.04 ," 11,564.00 "
Michoacán de Ocampo,Ziracuaretiro, 24.35 ," 4,800.00 "
Michoacán de Ocampo,Zitácuaro, 19.85 ," 32,025.00 "
Michoacán de Ocampo,José Sixto Verduzco, 28.27 ," 7,509.00 "
Morelos,Amacuzac, 34.13 ," 6,335.00 "
Morelos,Atlatlahucan, 32.39 ," 9,327.00 "
Morelos,Axochiapan, 30.66 ," 12,680.00 "
Morelos,Ayala, 24.05 ," 21,760.00 "
Morelos,Coatlán del Río, 29.07 ," 3,074.00 "
Morelos,Cuautla, 24.38 ," 47,386.00 "
Morelos,Cuernavaca, 17.57 ," 66,177.00 "
Morelos,Emiliano Zapata, 25.09 ," 28,015.00 "
Morelos,Huitzilac, 32.64 ," 8,979.00 "
Morelos,Jantetelco, 27.51 ," 5,150.00 "
Morelos,Jiutepec, 19.30 ," 42,609.00 "
Morelos,Jojutla, 19.57 ," 11,387.00 "
Morelos,Jonacatepec, 21.72 ," 3,409.00 "
Morelos,Mazatepec, 15.89 ," 1,585.00 "
Morelos,Miacatlán, 28.52 ," 4,483.00 "
Morelos,Ocuituco, 31.80 ," 6,919.00 "
Morelos,Puente de Ixtla, 30.45 ," 12,484.00 "
Morelos,Temixco, 27.69 ," 36,689.00 "
Morelos,Tepalcingo, 19.48 ," 5,703.00 "
Morelos,Tepoztlán, 24.43 ," 15,372.00 "
Morelos,Tetecala, 15.12 ," 1,190.00 "
Morelos,Tetela del Volcán, 16.30 ," 2,359.00 "
Morelos,Tlalnepantla, 18.78 ," 1,541.00 "
Morelos,Tlaltizapán, 28.97 ," 15,388.00 "
Morelos,Tlaquiltenango, 20.60 ," 7,040.00 "
