Entidad,Municipio, Porcentaje2020 , Personas2020 
Chiapas,Chenalhó, 11.36 ," 5,433.00 "
Chiapas,Chiapa de Corzo, 24.99 ," 26,975.00 "
Chiapas,Chiapilla, 22.72 ," 1,412.00 "
Chiapas,Chicoasén, 19.52 ," 1,065.00 "
Chiapas,Chicomuselo, 25.80 ," 9,600.00 "
Chiapas,Chilón, 4.91 ," 6,648.00 "
Chiapas,Escuintla, 18.20 ," 5,693.00 "
Chiapas,Francisco León, 17.98 ," 1,315.00 "
Chiapas,Frontera Comalapa, 25.27 ," 22,263.00 "
Chiapas,Frontera Hidalgo, 29.89 ," 4,716.00 "
Chiapas,La Grandeza, 1.94 , 151.00 
Chiapas,Huehuetán, 20.99 ," 9,089.00 "
Chiapas,Huixtán, 29.29 ," 6,504.00 "
Chiapas,Huitiupán, 27.18 ," 7,376.00 "
Chiapas,Huixtla, 21.98 ," 12,871.00 "
Chiapas,La Independencia, 22.19 ," 10,797.00 "
Chiapas,Ixhuatán, 27.05 ," 3,063.00 "
Chiapas,Ixtacomitán, 16.26 ," 2,058.00 "
Chiapas,Ixtapa, 43.38 ," 12,240.00 "
Chiapas,Ixtapangajoya, 16.74 ," 1,063.00 "
Chiapas,Jiquipilas, 30.51 ," 13,883.00 "
Chiapas,Jitotol, 13.70 ," 3,859.00 "
Chiapas,Juárez, 25.54 ," 6,855.00 "
Chiapas,Larráinzar, 10.21 ," 3,222.00 "
Chiapas,La Libertad, 38.22 ," 2,019.00 "
Chiapas,Mapastepec, 23.84 ," 12,557.00 "
Chiapas,Las Margaritas, 7.46 ," 9,476.00 "
Chiapas,Mazapa de Madero, 15.59 ," 1,244.00 "
Chiapas,Mazatán, 25.84 ," 8,175.00 "
Chiapas,Metapa, 23.98 ," 1,423.00 "
Chiapas,Mitontic, 4.11 , 570.00 
Chiapas,Motozintla, 8.65 ," 5,545.00 "
Chiapas,Nicolás Ruíz, 27.80 ," 1,338.00 "
Chiapas,Ocosingo, 23.11 ," 52,262.00 "
Chiapas,Ocotepec, 10.97 ," 1,561.00 "
Chiapas,Ocozocoautla de Espinosa, 18.76 ," 18,119.00 "
Chiapas,Ostuacán, 20.77 ," 4,770.00 "
Chiapas,Osumacinta, 13.26 , 533.00 
Chiapas,Oxchuc, 13.04 ," 7,235.00 "
Chiapas,Palenque, 38.76 ," 54,901.00 "
Chiapas,Pantelhó, 16.90 ," 4,504.00 "
Chiapas,Pantepec, 26.16 ," 3,158.00 "
Chiapas,Pichucalco, 17.09 ," 6,071.00 "
Chiapas,Pijijiapan, 26.21 ," 15,149.00 "
Chiapas,El Porvenir, 5.81 , 557.00 
Chiapas,Villa Comaltitlán, 23.36 ," 9,011.00 "
Chiapas,Pueblo Nuevo Solistahuacán, 31.34 ," 8,329.00 "
Chiapas,Rayón, 30.56 ," 3,200.00 "
Chiapas,Reforma, 43.81 ," 20,497.00 "
Chiapas,Las Rosas, 19.13 ," 5,392.00 "
Chiapas,Sabanilla, 3.12 ," 1,003.00 "
Chiapas,Salto de Agua, 19.75 ," 13,230.00 "
Chiapas,San Cristóbal de las Casas, 24.58 ," 51,349.00 "
Chiapas,San Fernando, 10.63 ," 4,552.00 "
Chiapas,Siltepec, 21.06 ," 3,886.00 "
Chiapas,Simojovel, 22.91 ," 11,856.00 "
Chiapas,Sitalá, 22.67 ," 3,553.00 "
Chiapas,Socoltenango, 30.71 ," 6,154.00 "
Chiapas,Solosuchiapa, 11.68 ," 1,010.00 "
Chiapas,Soyaló, 31.59 ," 3,041.00 "
Chiapas,Suchiapa, 27.14 ," 7,038.00 "
Chiapas,Suchiate, 30.87 ," 12,961.00 "
Chiapas,Sunuapa, 17.29 , 403.00 
Chiapas,Tapachula, 21.29 ," 77,012.00 "
Chiapas,Tapalapa, 10.88 , 499.00 
Chiapas,Tapilula, 27.01 ," 3,729.00 "
Chiapas,Tecpatán, 25.73 ," 6,133.00 "
